Proteina,U-statistic,p-value
LPU83_0124,9.000000,0.100000
LPU83_0679,2.000000,0.400000
mltB1,3.000000,0.700000
LPU83_0684,0.000000,0.100000
LPU83_0134,4.000000,1.000000
LPU83_0689,7.000000,0.400000
rpsO,0.000000,0.100000
dxs1,6.000000,0.700000
fabI1,4.000000,1.000000
bioY,5.000000,1.000000
LPU83_0699,5.000000,1.000000
aroC,5.000000,1.000000
LPU83_0149,4.000000,1.000000
LPU83_0704,2.000000,0.400000
dnaJ3,4.000000,1.000000
fadA,7.000000,0.400000
LPU83_1046,6.000000,0.700000
bkdR1,7.000000,0.400000
ctaD,6.000000,0.700000
LPU83_1056,2.000000,0.400000
LPU83_0719,6.000000,0.700000
LPU83_0175,3.000000,0.700000
rnhA,3.000000,0.700000
aspB1,0.000000,0.100000
LPU83_0180,3.000000,0.700000
LPU83_0185,3.000000,0.700000
LPU83_1071,4.000000,1.000000
LPU83_0734,3.000000,0.700000
LPU83_0190,3.000000,0.700000
LPU83_1081,5.000000,1.000000
LPU83_0201,2.000000,0.400000
LPU83_1091,3.000000,0.700000
LPU83_0740,0.000000,0.100000
gatA1,5.000000,1.000000
LPU83_1096,7.000000,0.400000
cysN,2.000000,0.400000
cpaD,4.000000,1.000000
pilQ,6.000000,0.700000
upp,0.000000,0.100000
LPU83_1123,6.000000,0.700000
deoA,6.000000,0.700000
gstB,2.000000,0.400000
LPU83_1133,7.000000,0.400000
mcpE,5.000000,1.000000
cheR,2.000000,0.400000
flhB,6.000000,0.700000
LPU83_1148,4.000000,1.000000
flgF,3.000000,0.700000
LPU83_0236,9.000000,0.100000
LPU83_1153,7.000000,0.400000
phnA,2.000000,0.400000
zwf3,7.000000,0.400000
flaC1,2.000000,0.400000
LPU83_1168,8.000000,0.200000
LPU83_0242,5.000000,1.000000
flaF,0.000000,0.100000
LPU83_0244;LPU83_1178;LPU83_1768,4.000000,1.000000
LPU83_0252,6.000000,0.700000
mepA,6.000000,0.700000
