Proteina,U-statistic,p-value
LPU83_3622;LPU83_pLPU83b_0163,6.000000,0.700000
LPU83_3627,6.000000,0.700000
LPU83_pLPU83b_0172,3.000000,0.700000
LPU83_3632,6.000000,0.700000
galE5,7.000000,0.400000
LPU83_pLPU83b_0177,5.000000,1.000000
LPU83_1981,9.000000,0.100000
LPU83_4170,3.000000,0.700000
dppF3,7.000000,0.400000
LPU83_3647,6.000000,0.700000
LPU83_pLPU83b_0192,4.000000,1.000000
bgl,6.000000,0.700000
LPU83_4185,6.000000,0.700000
LPU83_3662,3.000000,0.700000
htpX,6.000000,0.700000
LPU83_2016,9.000000,0.100000
xylA,6.000000,0.700000
LPU83_4195,6.000000,0.700000
parB,5.000000,1.000000
LPU83_3672,3.000000,0.700000
rho,2.000000,0.400000
LPU83_2036,5.000000,1.000000
LPU83_2041,5.000000,1.000000
nodD2,7.000000,0.400000
lysS,3.000000,0.700000
LPU83_2046,9.000000,0.100000
LPU83_pLPU83a_0013,1.000000,0.200000
LPU83_pLPU83a_0018,2.000000,0.400000
tal,4.000000,1.000000
LPU83_2066,6.000000,0.700000
LPU83_2071,3.000000,0.700000
smoK,0.000000,0.100000
pleD3,3.000000,0.700000
LPU83_3717,8.000000,0.200000
LPU83_pLPU83a_0033,3.000000,0.700000
LPU83_3722,1.000000,0.200000
parA,3.000000,0.700000
LPU83_3727,2.000000,0.400000
LPU83_2091,3.000000,0.700000
LPU83_pLPU83b_0272,7.000000,0.400000
LPU83_3737,3.000000,0.700000
LPU83_pLPU83a_0048,6.000000,0.700000
LPU83_pLPU83b_0277,7.000000,0.400000
LPU83_pLPU83b_0283,3.000000,0.700000
LPU83_2111,1.000000,0.200000
LPU83_2116,6.000000,0.700000
clpB,4.000000,1.000000
cobO,4.000000,1.000000
LPU83_pLPU83a_0063,1.000000,0.200000
ptsP3,6.000000,0.700000
cobB,6.000000,0.700000
ubiG1,6.000000,0.700000
LPU83_2131,5.000000,1.000000
LPU83_pLPU83b_0304,9.000000,0.100000
LPU83_pLPU83a_0073,1.000000,0.200000
LPU83_3777,5.000000,1.000000
LPU83_2136,7.000000,0.400000
LPU83_2141,3.000000,0.700000
LPU83_pLPU83b_0315,7.000000,0.400000
LPU83_2146,7.000000,0.400000
xynA,5.000000,1.000000
LPU83_2161,7.000000,0.400000
argJ,3.000000,0.700000
LPU83_3792,6.000000,0.700000
LPU83_3797,6.000000,0.700000
LPU83_3803,0.000000,0.100000
LPU83_3808,4.000000,1.000000
nrdF,4.000000,1.000000
LPU83_1812;LPU83_pLPU83a_0088,5.000000,1.000000
LPU83_3823,6.000000,0.700000
exoW,4.000000,1.000000
chaC,4.000000,1.000000
exoL,7.000000,0.400000
gloB,5.000000,1.000000
ssuD,4.000000,1.000000
LPU83_3658;LPU83_pLPU83a_0108,6.000000,0.700000
cobS3,3.000000,0.700000
aroB,6.000000,0.700000
LPU83_2211,4.000000,1.000000
LPU83_3858,2.000000,0.400000
LPU83_2216,7.000000,0.400000
LPU83_2221,6.000000,0.700000
LPU83_3879,5.000000,1.000000
moaA,4.000000,1.000000
LPU83_3884,9.000000,0.100000
LPU83_2236,5.000000,1.000000
LPU83_pLPU83b_0402,3.000000,0.700000
fdsD,1.000000,0.200000
LPU83_2241,3.000000,0.700000
LPU83_3894,6.000000,0.700000
aroG,3.000000,0.700000
LPU83_3899,5.000000,1.000000
LPU83_3909,6.000000,0.700000
LPU83_pLPU83b_0417,6.000000,0.700000
LPU83_3914,3.000000,0.700000
LPU83_pLPU83b_0422,7.000000,0.400000
sucC,7.000000,0.400000
sdhA,6.000000,0.700000
LPU83_3929,6.000000,0.700000
hemD,3.000000,0.700000
LPU83_3939,2.000000,0.400000
LPU83_2261,5.000000,1.000000
folP,1.000000,0.200000
LPU83_2271,8.000000,0.200000
dcp,7.000000,0.400000
psuG,4.000000,1.000000
gstA3,5.000000,1.000000
argG,0.000000,0.100000
LPU83_pLPU83b_0044,3.000000,0.700000
LPU83_3959,2.000000,0.400000
rpsD,2.000000,0.400000
LPU83_2296,6.000000,0.700000
phhB,9.000000,0.100000
purL,2.000000,0.400000
LPU83_3969,5.000000,1.000000
purQ,4.000000,1.000000
LPU83_2311,3.000000,0.700000
LPU83_pLPU83b_0437,7.000000,0.400000
ccmA,2.000000,0.400000
LPU83_pLPU83b_0059,4.000000,1.000000
ispZ,3.000000,0.700000
rpe,3.000000,0.700000
LPU83_2321,8.000000,0.200000
trmD,2.000000,0.400000
rhlE1,1.000000,0.200000
tyrS,1.000000,0.200000
LPU83_3999,5.000000,1.000000
LPU83_pLPU83b_0462,6.000000,0.700000
sufB,3.000000,0.700000
sufA,7.000000,0.400000
lonD,5.000000,1.000000
LPU83_pLPU83b_0090,7.000000,0.400000
gcvP,8.000000,0.200000
rluC,3.000000,0.700000
LPU83_4025,9.000000,0.100000
nifS,4.000000,1.000000
LPU83_2356,5.000000,1.000000
LPU83_pLPU83b_0105,9.000000,0.100000
adhC,6.000000,0.700000
fixC,4.000000,1.000000
lipB,4.000000,1.000000
sfuA,1.000000,0.200000
LPU83_2382,6.000000,0.700000
LPU83_4045,6.000000,0.700000
dacF3,3.000000,0.700000
LPU83_4050,6.000000,0.700000
folE,0.000000,0.100000
LPU83_4060,6.000000,0.700000
LPU83_2402,0.000000,0.100000
LPU83_2407,7.000000,0.400000
tpiA,8.000000,0.200000
LPU83_4070,4.000000,1.000000
citA,9.000000,0.100000
LPU83_pLPU83b_0148,7.000000,0.400000
LPU83_pLPU83b_0531,9.000000,0.100000
galM,6.000000,0.700000
deaD,0.000000,0.100000
trpD,9.000000,0.100000
groES,7.000000,0.400000
groES,1.000000,0.200000
ispA,2.000000,0.400000
LPU83_pLPU83b_0164,2.000000,0.400000
LPU83_2443,5.000000,1.000000
LPU83_4095,4.000000,1.000000
LPU83_pLPU83b_0169,0.000000,0.100000
LPU83_4100,5.000000,1.000000
glmS1,4.000000,1.000000
glmS1;nodM,2.000000,0.400000
leuB,0.000000,0.100000
dsb,4.000000,1.000000
LPU83_pLPU83b_0179,3.000000,0.700000
LPU83_4110,6.000000,0.700000
glnB,5.000000,1.000000
ssb,3.000000,0.700000
LPU83_4120,6.000000,0.700000
queA,4.000000,1.000000
modE,6.000000,0.700000
LPU83_2483,5.000000,1.000000
LPU83_pLPU83c_0005,9.000000,0.100000
proA,3.000000,0.700000
tmk,3.000000,0.700000
LPU83_pLPU83c_0010,6.000000,0.700000
LPU83_4151,8.000000,0.200000
fabF,4.000000,1.000000
nrd3,3.000000,0.700000
LPU83_4166,7.000000,0.400000
dppA3,4.000000,1.000000
hfq,2.000000,0.400000
LPU83_4176,7.000000,0.400000
ntrB,5.000000,1.000000
asd,1.000000,0.200000
LPU83_4191,7.000000,0.400000
pdhB,2.000000,0.400000
LPU83_4196,3.000000,0.700000
LPU83_pLPU83b_0269,2.000000,0.400000
kdsA,5.000000,1.000000
parA5,4.000000,1.000000
LPU83_pLPU83b_0274,3.000000,0.700000
lpxB,3.000000,0.700000
LPU83_pLPU83b_0279,5.000000,1.000000
yaeT,2.000000,0.400000
LPU83_pLPU83a_0019,6.000000,0.700000
pyrH,9.000000,0.100000
LPU83_2584,4.000000,1.000000
LPU83_pLPU83b_0306,6.000000,0.700000
LPU83_pLPU83c_0105,7.000000,0.400000
LPU83_2594,8.000000,0.200000
metC,9.000000,0.100000
malE,4.000000,1.000000
LPU83_pLPU83a_0034,2.000000,0.400000
LPU83_2604,4.000000,1.000000
LPU83_2610,3.000000,0.700000
LPU83_pLPU83a_0049,0.000000,0.100000
LPU83_2636,4.000000,1.000000
mocA1,5.000000,1.000000
LPU83_pLPU83a_0064,4.000000,1.000000
ilvC,5.000000,1.000000
LPU83_1447,7.000000,0.400000
LPU83_pLPU83c_0155,4.000000,1.000000
adh,5.000000,1.000000
ggt,9.000000,0.100000
LPU83_pLPU83c_0185,4.000000,1.000000
LPU83_pLPU83b_0377,6.000000,0.700000
LPU83_2676,2.000000,0.400000
folA5,7.000000,0.400000
LPU83_pLPU83b_0383,6.000000,0.700000
ompA1,4.000000,1.000000
ugpC,6.000000,0.700000
pncA,8.000000,0.200000
gatA,5.000000,1.000000
LPU83_pLPU83b_0404,7.000000,0.400000
cheW3,2.000000,0.400000
ligA,4.000000,1.000000
ftsA,5.000000,1.000000
LPU83_pLPU83b_0419,5.000000,1.000000
murD,5.000000,1.000000
LPU83_pLPU83a_0114,6.000000,0.700000
LPU83_pLPU83c_0250,6.000000,0.700000
mltB3,5.000000,1.000000
LPU83_pLPU83c_0255,6.000000,0.700000
Mgll,6.000000,0.700000
LPU83_pLPU83c_0260,5.000000,1.000000
LPU83_pLPU83b_0434,2.000000,0.400000
LPU83_pLPU83c_0285,6.000000,0.700000
LPU83_pLPU83b_0471,3.000000,0.700000
nifA,3.000000,0.700000
hipA,6.000000,0.700000
LPU83_2766,7.000000,0.400000
azuPf,0.000000,0.100000
ssdH,9.000000,0.100000
LPU83_pLPU83c_0350,6.000000,0.700000
LPU83_2776,3.000000,0.700000
LPU83_2781,2.000000,0.400000
LPU83_2786,4.000000,1.000000
LPU83_2791,7.000000,0.400000
yggE,9.000000,0.100000
nifH1,3.000000,0.700000
thuK,3.000000,0.700000
repB1,3.000000,0.700000
LPU83_2852,5.000000,1.000000
dnaG,5.000000,1.000000
lacI,6.000000,0.700000
lysR,4.000000,1.000000
carB,1.000000,0.200000
lpsD3,4.000000,1.000000
nolR1,3.000000,0.700000
LPU83_pLPU83c_0042,6.000000,0.700000
LPU83_2897,7.000000,0.400000
LPU83_pLPU83c_0047,5.000000,1.000000
LPU83_2902,5.000000,1.000000
petR,6.000000,0.700000
pepQ,6.000000,0.700000
ychF,1.000000,0.200000
fbcC,0.000000,0.100000
hemF,5.000000,1.000000
LPU83_2952,6.000000,0.700000
LPU83_pLPU83c_0410,7.000000,0.400000
leuA,9.000000,0.100000
clpP3,4.000000,1.000000
LPU83_pLPU83c_0107,4.000000,1.000000
LPU83_pLPU83c_0112,6.000000,0.700000
LPU83_2987,7.000000,0.400000
LPU83_2992,4.000000,1.000000
ade1,5.000000,1.000000
LPU83_pLPU83c_0420,4.000000,1.000000
LPU83_3007,6.000000,0.700000
LPU83_pLPU83c_0127,8.000000,0.200000
ntaA3,3.000000,0.700000
luxA,8.000000,0.200000
Myg1,3.000000,0.700000
LPU83_pLPU83c_0435,2.000000,0.400000
speF,3.000000,0.700000
guaD,2.000000,0.400000
LPU83_pLPU83c_0142,6.000000,0.700000
allA,3.000000,0.700000
rhlE3,2.000000,0.400000
LPU83_3057,6.000000,0.700000
sbpA,1.000000,0.200000
speB,3.000000,0.700000
dhaK1,5.000000,1.000000
LPU83_3113,5.000000,1.000000
mrcB,3.000000,0.700000
pitX,5.000000,1.000000
mctS,5.000000,1.000000
LPU83_3138,6.000000,0.700000
LPU83_pLPU83c_0510,7.000000,0.400000
LPU83_3153,5.000000,1.000000
LPU83_3163,3.000000,0.700000
LPU83_pLPU83c_0530,5.000000,1.000000
LPU83_3168,6.000000,0.700000
LPU83_pLPU83c_0535,6.000000,0.700000
LPU83_pLPU83c_0540,1.000000,0.200000
LPU83_pLPU83b_0275,2.000000,0.400000
cya3-4,6.000000,0.700000
LPU83_3183,6.000000,0.700000
ureY,8.000000,0.200000
braF,8.000000,0.200000
LPU83_3208,1.000000,0.200000
LPU83_3213,6.000000,0.700000
LPU83_pLPU83b_0307,4.000000,1.000000
rluD,5.000000,1.000000
LPU83_3223,3.000000,0.700000
noeK,2.000000,0.400000
LPU83_pLPU83b_0323,2.000000,0.400000
trbF,7.000000,0.400000
LPU83_pLPU83b_0338,6.000000,0.700000
yagT,5.000000,1.000000
exoU,7.000000,0.400000
LPU83_pLPU83c_0620,8.000000,0.200000
exoM,8.000000,0.200000
LPU83_3263,6.000000,0.700000
LPU83_3268,7.000000,0.400000
cspA5,3.000000,0.700000
LPU83_pLPU83b_0373,7.000000,0.400000
sugC,7.000000,0.400000
LPU83_3273,2.000000,0.400000
LPU83_3278,5.000000,1.000000
LPU83_3288,3.000000,0.700000
tfdB,6.000000,0.700000
LPU83_pLPU83b_0400,2.000000,0.400000
LPU83_pLPU83c_0367,3.000000,0.700000
purU,6.000000,0.700000
LPU83_3323,8.000000,0.200000
rbsR3,3.000000,0.700000
exuR,2.000000,0.400000
LPU83_pLPU83b_0415,2.000000,0.400000
LPU83_pLPU83c_0715,7.000000,0.400000
appD,2.000000,0.400000
celA,7.000000,0.400000
aldA,7.000000,0.400000
livG,2.000000,0.400000
LPU83_pLPU83b_0425,5.000000,1.000000
LPU83_pLPU83c_0735,6.000000,0.700000
tktA,5.000000,1.000000
LPU83_pLPU83c_0745,6.000000,0.700000
LPU83_pLPU83c_0750,3.000000,0.700000
LPU83_pLPU83c_0750;LPU83_pLPU83d_1856,1.000000,0.200000
rluB3,5.000000,1.000000
LPU83_pLPU83b_0435,6.000000,0.700000
acrA,5.000000,1.000000
hipO1,4.000000,1.000000
LPU83_3383,4.000000,1.000000
LPU83_pLPU83c_0765,6.000000,0.700000
LPU83_pLPU83c_0770,7.000000,0.400000
mnmA,5.000000,1.000000
LPU83_pLPU83c_0775,6.000000,0.700000
LPU83_3409,7.000000,0.400000
glmM,7.000000,0.400000
LPU83_pLPU83b_0482,2.000000,0.400000
tolB3,9.000000,0.100000
dapA,8.000000,0.200000
sqdB,8.000000,0.200000
LPU83_3439,5.000000,1.000000
LPU83_pLPU83c_0482,1.000000,0.200000
LPU83_pLPU83c_0800,4.000000,1.000000
LPU83_pLPU83c_0487,5.000000,1.000000
mcpA7,7.000000,0.400000
mctP,6.000000,0.700000
ruvB,5.000000,1.000000
dppD,4.000000,1.000000
uxuA,6.000000,0.700000
gnd,7.000000,0.400000
LPU83_pLPU83d_0001,8.000000,0.200000
LPU83_pLPU83c_0522;ugpC3,6.000000,0.700000
fbaB,9.000000,0.100000
LPU83_pLPU83c_0527,5.000000,1.000000
LPU83_3479,0.000000,0.100000
malK1,0.000000,0.100000
LPU83_3484,3.000000,0.700000
LPU83_pLPU83d_0016,3.000000,0.700000
fabG9,4.000000,1.000000
alh-9,6.000000,0.700000
enhC,5.000000,1.000000
bioA,4.000000,1.000000
LPU83_3499,3.000000,0.700000
vllY,7.000000,0.400000
LPU83_3519,5.000000,1.000000
pepF,7.000000,0.400000
LPU83_3539,7.000000,0.400000
LPU83_pLPU83c_0602,5.000000,1.000000
LPU83_3544,7.000000,0.400000
LPU83_3549,5.000000,1.000000
LPU83_pLPU83c_0612,3.000000,0.700000
mltB5,2.000000,0.400000
LPU83_pLPU83c_0617,7.000000,0.400000
gltB3,6.000000,0.700000
Gcdh,8.000000,0.200000
dgdR,7.000000,0.400000
ibpA,0.000000,0.100000
hspAT1;ibpA,3.000000,0.700000
LPU83_3569,4.000000,1.000000
yci,2.000000,0.400000
LPU83_pLPU83d_0066,6.000000,0.700000
LPU83_3580,3.000000,0.700000
LPU83_pLPU83d_0071,1.000000,0.200000
tctD,7.000000,0.400000
LPU83_pLPU83c_0642,5.000000,1.000000
LPU83_3590,0.000000,0.100000
pgm,5.000000,1.000000
soxG,4.000000,1.000000
LPU83_pLPU83c_0113,4.000000,1.000000
LPU83_pLPU83d_0096,9.000000,0.100000
LPU83_3605,4.000000,1.000000
LPU83_pLPU83c_0118,7.000000,0.400000
LPU83_3610,8.000000,0.200000
LPU83_pLPU83d_0101,9.000000,0.100000
catI,3.000000,0.700000
pntA,9.000000,0.100000
LPU83_3620,4.000000,1.000000
pcaH,5.000000,1.000000
cyaJ,4.000000,1.000000
LPU83_pLPU83d_0121,8.000000,0.200000
LPU83_pLPU83d_0126,8.000000,0.200000
LPU83_pLPU83c_0143,2.000000,0.400000
LPU83_pLPU83d_0131,6.000000,0.700000
glxC,9.000000,0.100000
LPU83_pLPU83d_0136,7.000000,0.400000
LPU83_3640,7.000000,0.400000
LPU83_pLPU83c_0697,6.000000,0.700000
eda,2.000000,0.400000
LPU83_3650,6.000000,0.700000
LPU83_pLPU83c_0702,8.000000,0.200000
LPU83_pLPU83c_0158,3.000000,0.700000
LPU83_pLPU83d_0151,0.000000,0.100000
LPU83_pLPU83d_0161,5.000000,1.000000
LPU83_3665,3.000000,0.700000
LPU83_pLPU83d_0176,3.000000,0.700000
cobM,6.000000,0.700000
LPU83_pLPU83c_0188,4.000000,1.000000
cobH,5.000000,1.000000
btuE,6.000000,0.700000
LPU83_pLPU83c_0193,7.000000,0.400000
LPU83_pLPU83d_0191,5.000000,1.000000
LPU83_pLPU83c_0198,6.000000,0.700000
ribB,9.000000,0.100000
LPU83_3690,4.000000,1.000000
actP,5.000000,1.000000
dhaK3,7.000000,0.400000
LPU83_3695,4.000000,1.000000
rbsB3,3.000000,0.700000
LPU83_3700,4.000000,1.000000
sorC,4.000000,1.000000
LPU83_pLPU83d_0211,2.000000,0.400000
LPU83_pLPU83c_0218,5.000000,1.000000
cyaG,7.000000,0.400000
lacZ,5.000000,1.000000
LPU83_3735,8.000000,0.200000
paaK,4.000000,1.000000
groEL,0.000000,0.100000
cscR,6.000000,0.700000
paaY,7.000000,0.400000
LPU83_3755,3.000000,0.700000
paaC,4.000000,1.000000
hemK,6.000000,0.700000
bkdA1,5.000000,1.000000
LPU83_3775,7.000000,0.400000
atzB,7.000000,0.400000
LPU83_pLPU83d_0301,7.000000,0.400000
LPU83_pLPU83c_0288,4.000000,1.000000
hmp,5.000000,1.000000
LPU83_pLPU83c_0298,5.000000,1.000000
LPU83_pLPU83d_0023,6.000000,0.700000
LPU83_pLPU83d_0033,3.000000,0.700000
LPU83_3780,4.000000,1.000000
LPU83_2626;LPU83_pLPU83d_0198,9.000000,0.100000
mmsB,9.000000,0.100000
LPU83_pLPU83c_0313,6.000000,0.700000
mutT,5.000000,1.000000
yagS,7.000000,0.400000
yagS,6.000000,0.700000
LPU83_3801,6.000000,0.700000
LPU83_3806,3.000000,0.700000
etfA,4.000000,1.000000
LPU83_3821,4.000000,1.000000
LPU83_3826,3.000000,0.700000
LPU83_pLPU83c_0338,6.000000,0.700000
LPU83_pLPU83d_0376,3.000000,0.700000
LPU83_3831,5.000000,1.000000
hisC3,5.000000,1.000000
LPU83_pLPU83d_0386,1.000000,0.200000
LPU83_3841,6.000000,0.700000
LPU83_3846,1.000000,0.200000
LPU83_pLPU83d_0396,7.000000,0.400000
LPU83_3851,3.000000,0.700000
LPU83_pLPU83d_0048,7.000000,0.400000
xerD3,7.000000,0.400000
hipO3,4.000000,1.000000
LPU83_3867,2.000000,0.400000
LPU83_pLPU83d_0406,7.000000,0.400000
LPU83_pLPU83c_0353,4.000000,1.000000
hemA,3.000000,0.700000
LPU83_3882,6.000000,0.700000
cheW5,2.000000,0.400000
LPU83_pLPU83d_0053,7.000000,0.400000
fdsB,2.000000,0.400000
LPU83_pLPU83d_0058,6.000000,0.700000
atpA,0.000000,0.100000
LPU83_3907,6.000000,0.700000
cysT,5.000000,1.000000
sucA,9.000000,0.100000
sucA,1.000000,0.200000
omp5,1.000000,0.200000
rbtD1,8.000000,0.200000
gcp,7.000000,0.400000
LPU83_3937,7.000000,0.400000
LPU83_pLPU83d_0446,4.000000,1.000000
LPU83_3942,3.000000,0.700000
LPU83_3957,0.000000,0.100000
LPU83_3962,7.000000,0.400000
LPU83_3967,7.000000,0.400000
LPU83_pLPU83d_0466,5.000000,1.000000
LPU83_3972,9.000000,0.100000
cycY,7.000000,0.400000
LPU83_pLPU83d_0098,9.000000,0.100000
dapF,5.000000,1.000000
LPU83_pLPU83d_0103,8.000000,0.200000
rpsP,1.000000,0.200000
LPU83_3992,7.000000,0.400000
LPU83_pLPU83d_0481,7.000000,0.400000
pcaQ,4.000000,1.000000
LPU83_3997,7.000000,0.400000
LPU83_4002,4.000000,1.000000
LPU83_pLPU83d_0123,5.000000,1.000000
LPU83_4007,7.000000,0.400000
LPU83_pLPU83d_0128,3.000000,0.700000
LPU83_pLPU83d_0133,8.000000,0.200000
LPU83_pLPU83d_0138,6.000000,0.700000
LPU83_4023,2.000000,0.400000
LPU83_pLPU83d_0148,5.000000,1.000000
LPU83_pLPU83d_0148;aglK1,4.000000,1.000000
LPU83_pLPU83c_0418,1.000000,0.200000
LPU83_4033,6.000000,0.700000
LPU83_pLPU83d_0153,4.000000,1.000000
tal,6.000000,0.700000
sfuC,5.000000,1.000000
LPU83_4043,6.000000,0.700000
gpuA,5.000000,1.000000
LPU83_4048,3.000000,0.700000
efp,2.000000,0.400000
LPU83_pLPU83d_0178,3.000000,0.700000
rpoH3,4.000000,1.000000
cobK,5.000000,1.000000
LPU83_pLPU83c_0443,3.000000,0.700000
LPU83_4068,5.000000,1.000000
LPU83_4073,6.000000,0.700000
cobF,3.000000,0.700000
nagA,6.000000,0.700000
LPU83_pLPU83d_0193,5.000000,1.000000
phbA,8.000000,0.200000
orf29,5.000000,1.000000
LPU83_pLPU83d_0203,3.000000,0.700000
LPU83_pLPU83d_0208,7.000000,0.400000
LPU83_4098,5.000000,1.000000
LPU83_4103,0.000000,0.100000
LPU83_4108,6.000000,0.700000
LPU83_4113,5.000000,1.000000
LPU83_pLPU83d_0243,6.000000,0.700000
LPU83_4118,6.000000,0.700000
rlmH,4.000000,1.000000
modA,2.000000,0.400000
LPU83_pLPU83d_0258,6.000000,0.700000
LPU83_pLPU83d_0546,4.000000,1.000000
paaA,4.000000,1.000000
LPU83_pLPU83d_0268,6.000000,0.700000
kdgD,2.000000,0.400000
LPU83_pLPU83d_0273,4.000000,1.000000
lpdV,9.000000,0.100000
LPU83_4149,7.000000,0.400000
LPU83_pLPU83c_0523,9.000000,0.100000
cdsAb,7.000000,0.400000
LPU83_pLPU83d_0283,5.000000,1.000000
LPU83_pLPU83c_0528,4.000000,1.000000
glnQ1,3.000000,0.700000
LPU83_pLPU83c_0538,4.000000,1.000000
LPU83_pLPU83d_0571,6.000000,0.700000
LPU83_4169,3.000000,0.700000
LPU83_pLPU83d_0298,9.000000,0.100000
LPU83_pLPU83d_0303,7.000000,0.400000
dppD3,7.000000,0.400000
LPU83_pLPU83c_0548,6.000000,0.700000
LPU83_pLPU83d_0586,0.000000,0.100000
ndvB,6.000000,0.700000
LPU83_4184,6.000000,0.700000
LPU83_4189,4.000000,1.000000
LPU83_4194,2.000000,0.400000
holA,4.000000,1.000000
mnmE,3.000000,0.700000
aaeR1,6.000000,0.700000
repA3,1.000000,0.200000
fdoG3,4.000000,1.000000
LPU83_pLPU83a_0037,1.000000,0.200000
cocE,9.000000,0.100000
LPU83_pLPU83a_0057,2.000000,0.400000
LPU83_pLPU83c_0628,3.000000,0.700000
LPU83_pLPU83d_0398,7.000000,0.400000
LPU83_pLPU83d_0403,9.000000,0.100000
vapC,3.000000,0.700000
LPU83_pLPU83c_0614;LPU83_pLPU83d_0722,8.000000,0.200000
tyrB,6.000000,0.700000
vapC,1.000000,0.200000
LPU83_pLPU83d_0727,8.000000,0.200000
vapC,2.000000,0.400000
nocR,7.000000,0.400000
LPU83_pLPU83d_0423,0.000000,0.100000
LPU83_pLPU83d_0747,1.000000,0.200000
LPU83_pLPU83d_0752,2.000000,0.400000
LPU83_pLPU83c_0678,3.000000,0.700000
hspAT1,7.000000,0.400000
hspAT1;hspD,4.000000,1.000000
exoV,5.000000,1.000000
LPU83_0171;malK3,1.000000,0.200000
exoK,8.000000,0.200000
glxD,1.000000,0.200000
LPU83_pLPU83d_0772,7.000000,0.400000
LPU83_pLPU83d_0777,9.000000,0.100000
LPU83_pLPU83c_0698,6.000000,0.700000
LPU83_pLPU83c_0703,9.000000,0.100000
LPU83_pLPU83c_0708,7.000000,0.400000
LPU83_pLPU83c_0713,9.000000,0.100000
attS,8.000000,0.200000
LPU83_pLPU83c_0728,5.000000,1.000000
LPU83_pLPU83c_0733,7.000000,0.400000
LPU83_pLPU83d_0832,5.000000,1.000000
LPU83_pLPU83c_0743,4.000000,1.000000
LPU83_pLPU83d_0488,8.000000,0.200000
LPU83_pLPU83c_0748,3.000000,0.700000
LPU83_pLPU83d_0842,2.000000,0.400000
LPU83_pLPU83d_0847,6.000000,0.700000
yvaG1,5.000000,1.000000
LPU83_pLPU83d_0518,7.000000,0.400000
LPU83_pLPU83d_0528,3.000000,0.700000
LPU83_pLPU83d_0543,5.000000,1.000000
LPU83_pLPU83d_0009,3.000000,0.700000
LPU83_pLPU83b_0089,1.000000,0.200000
LPU83_pLPU83d_0014,0.000000,0.100000
LPU83_pLPU83d_0019,6.000000,0.700000
LPU83_pLPU83b_0109,6.000000,0.700000
bioB,1.000000,0.200000
LPU83_pLPU83d_0034,6.000000,0.700000
ndh,9.000000,0.100000
alkJ,9.000000,0.100000
LPU83_pLPU83d_0583,1.000000,0.200000
LPU83_pLPU83b_0147,9.000000,0.100000
LPU83_pLPU83d_0588,5.000000,1.000000
LPU83_pLPU83d_0593,3.000000,0.700000
LPU83_pLPU83b_0163,3.000000,0.700000
LPU83_pLPU83d_0049,3.000000,0.700000
ampC,6.000000,0.700000
LPU83_pLPU83b_0173,6.000000,0.700000
LPU83_pLPU83b_0183,5.000000,1.000000
LPU83_pLPU83d_0658,5.000000,1.000000
selD,3.000000,0.700000
pcaF,6.000000,0.700000
LPU83_pLPU83d_0674,4.000000,1.000000
LPU83_pLPU83b_0204,3.000000,0.700000
LPU83_pLPU83d_0114,4.000000,1.000000
LPU83_pLPU83d_0124,3.000000,0.700000
gsiA1,9.000000,0.100000
LPU83_pLPU83d_0134,5.000000,1.000000
cyoA,6.000000,0.700000
LPU83_pLPU83d_0154,6.000000,0.700000
LPU83_pLPU83d_0729,5.000000,1.000000
LPU83_pLPU83d_0174,2.000000,0.400000
cobJ,3.000000,0.700000
LPU83_pLPU83b_0273,1.000000,0.200000
repA,3.000000,0.700000
LPU83_pLPU83b_0278,5.000000,1.000000
LPU83_pLPU83d_0194,9.000000,0.100000
LPU83_pLPU83d_0744,7.000000,0.400000
LPU83_pLPU83d_0749,3.000000,0.700000
hspAT1,2.000000,0.400000
LPU83_pLPU83d_0759,5.000000,1.000000
LPU83_pLPU83d_1067,2.000000,0.400000
LPU83_pLPU83d_0769,7.000000,0.400000
LPU83_pLPU83d_1077,3.000000,0.700000
LPU83_pLPU83b_0310,2.000000,0.400000
LPU83_pLPU83d_0229,5.000000,1.000000
paaG,2.000000,0.400000
LPU83_pLPU83d_0809,8.000000,0.200000
paaE,0.000000,0.100000
LPU83_pLPU83d_1127,4.000000,1.000000
LPU83_pLPU83d_0814,5.000000,1.000000
LPU83_pLPU83d_1142,0.000000,0.100000
bkdB,9.000000,0.100000
LPU83_pLPU83d_1147,0.000000,0.100000
scu,8.000000,0.200000
LPU83_pLPU83d_0829,8.000000,0.200000
kefBC,5.000000,1.000000
LPU83_pLPU83d_0289,5.000000,1.000000
LPU83_pLPU83d_0294,4.000000,1.000000
LPU83_pLPU83d_1167,3.000000,0.700000
dctD,7.000000,0.400000
dnaQ,3.000000,0.700000
LPU83_pLPU83d_1187,3.000000,0.700000
LPU83_0010,4.000000,1.000000
poxB,6.000000,0.700000
LPU83_0015,9.000000,0.100000
trpF,2.000000,0.400000
trxA1,2.000000,0.400000
LPU83_pLPU83d_1202,6.000000,0.700000
LPU83_0030,6.000000,0.700000
chvG,5.000000,1.000000
coaA,1.000000,0.200000
phaZ2,7.000000,0.400000
LPU83_0050,5.000000,1.000000
actR,5.000000,1.000000
dapA1,1.000000,0.200000
LPU83_0080,7.000000,0.400000
oppA,6.000000,0.700000
LPU83_pLPU83d_1247,6.000000,0.700000
nodW3,2.000000,0.400000
LPU83_0090,1.000000,0.200000
rbsA1,9.000000,0.100000
LPU83_pLPU83d_0379,7.000000,0.400000
LPU83_0105,3.000000,0.700000
LPU83_0110,6.000000,0.700000
LPU83_pLPU83d_0384;LPU83_pLPU83d_0390,6.000000,0.700000
