Proteina,T-statistic,p-value,log2FC
Myg1,-0.22005420890881708,0.8366034304896451,0.03102157369127312
LPU83_pLPU83c_0435,-0.7041126406211179,0.5201933167838674,0.12708835959292486
speF,-0.8358056792885661,0.4502834880668062,0.42800138891900374
guaD,-1.0233914207546662,0.3639755226288777,0.12034544082565546
LPU83_pLPU83c_0142,0.7141496348692533,0.5145945589452117,-0.1828867149512341
allA,-0.25273793865170147,0.8129274622967176,0.06474207702166623
rhlE3,-0.8321725882882485,0.4521085355033593,0.16309212005921125
LPU83_3057,-0.14193351477856042,0.8939942747175776,0.023138149387413876
sbpA,-1.497925923441085,0.20851035982484623,0.07453208181124893
speB,-0.299884589888181,0.7792033041655034,0.02640313413008144
dhaK1,1.1114317526417172,0.32868208560249673,-0.29752051949449765
LPU83_3113,0.2057392809376764,0.8470413184927965,-0.06075074371338829
mrcB,-0.29018355226287035,0.7860978248963847,0.10164167497011434
pitX,0.2790453693109219,0.7940430334109438,-0.010902168730449802
mctS,0.24325082429924544,0.819776461509657,-0.06693468175354056
LPU83_3138,0.3139212754171481,0.7692709469036934,-0.04401796527575108
LPU83_pLPU83c_0510,1.3581880783941722,0.24596009884016692,-0.028960215653235366
LPU83_3153,0.7390152701204785,0.5009153440558093,-0.09382473008023595
LPU83_3163,-0.5811702099178032,0.5922997747269447,0.059698220800136426
LPU83_pLPU83c_0530,0.38125530902917687,0.7223995088151525,-0.2795106230862938
LPU83_3168,0.5360493346772631,0.6203450364087608,-0.11668586791308755
LPU83_pLPU83c_0535,1.1169087652922,0.3265921054186106,-0.20102997041643889
LPU83_pLPU83c_0540,-1.662173621616532,0.17181286402923704,0.052534901873137585
LPU83_pLPU83b_0275,-0.8483754190547549,0.44401462032657785,0.2358499346745333
cya3-4,0.4399617081943065,0.6826924544326927,-0.1669776953388329
LPU83_3183,-0.6886798202467641,0.5288880662695343,0.3472218842219448
ureY,1.8110252841756913,0.14437508760658485,-0.2958737638530966
braF,2.294984706673928,0.08339804194874027,-0.12823857376560355
LPU83_3208,-2.499783149109623,0.06678201943988,0.13725102082132423
LPU83_3213,0.04672390514733041,0.9649730001434526,-0.0031019130767937497
LPU83_pLPU83b_0307,-0.6399231569994501,0.5570366182476338,0.0953177745425684
rluD,-0.24465089809928922,0.8187644684100288,0.026753738335870025
LPU83_3223,0.05298961835309261,0.9602810174765204,-0.041204074454583406
noeK,-1.061392482531496,0.3483456735064577,0.046982555056953146
